Era 5.0 era perkembangan teknologi yang sangat luar biasa. Adanya teknologi mampu mendukung dan mempermudah suatu pekerjaan dengan dukungan teknologi akan pekerjaan akan lebih maksimal. ,Iyaa ,Tidak. ,"Tidak , keterampilan akuntansi tetap membutuhkan skill analisis yang terus di kembangkan penerapannya kedepan sehingga dengan adanya teknologi juga tidak bisa dipisahkan dengan peran Profesi akuntan sebagai sistem utama yang mampu memberikan analisis secara akuntabel dan relevan.","Teknologi tidak akan menggantikan pekerjaan akuntan. Meskipun mengalami banyak perubahan, profesi akuntan dinilai masih eksis hingga masa kini. Agar dapat menyesuaikan diri dengan era transformasi digital yang semakin canggih, seorang akuntan perlu meng-upgrade kualitas diri"
disisi yang melek teknologi itu sangat menguntungkan meskipun ada sisi negatif yang dikhawatirkan,sangat berdampak,kena imbasnya,pasti,kurang lebih 10 tahun
Memudahkan pekerjaan akuntan,"Lumayan berdampak, karena akan ada efektifitas dan efisiensi pekerjaan ",Ya,Ya,Tidak sepenuhnya
Kondisi ini merupakan tantangan bagi kita semua. Banyak kajian dan pembahasan yang diperlukan untuk mengetahui dampak maupun pro dan kontra dari era ini. ,Sedikit banyak saat ini segala bidang mulai bertransformasi ke digital,Apabila para akuntan masa kini tidak memiliki kemampuan yang memadai hal tersebut bisa saja menjadi permasalahan ,Apabila perusahaan memiliki dana yang cukup sepertinya akan memanfaatkan teknologi untuk memperlancar aktivitas tersebut. Namun untuk bidang tertentu tetap akan menggunakan akuntan,Semua tergantung dari perkembangan dan penerimaan atas teknologi tersebut. Pastinya peran pembuat kebijakan juga menentukan hal ini. 
Ya sangat akan membantu sebuah perusahaan dalam mengejar target quantitynya.,"Ya pasti, karena akan berkurangnya tenaga kerja manusia yang digunakan.",Kemungkinan iya. Karena dengan adanya pembaruan itu bisa akan memudahkan pekerjaan  profesi akuntansi ,"Pastinya iya, tapi tetap membutuhkan manusia dalam pekerjaannya",Kemungkinan kecil iya. Karena pada bidang akuntansi ini suatu bidang yang sangat sensitif ada sebuah perusahaan. Karena mnyangkut keuangan perusahaan yang harus jelas dan ada pertanggung jawaban dari manusia. Karena se canggih canggihnya robotic dan AI tetap akan mungkin bisa terjadi kesalahan.
,"Berdampak, sebab karena masyarakat secara terus menerus akan dituntut untuk mengembangkan kemampuan guna menyelesaikan masalah sosial yang terjadi akibat kemunculan revolusi industri, yang sejalan dengan misi Indonesia emas di tahun 2045.","Iya, oleh karena itu manusia perlu meningkatkan kualitas sumber dayanya, untuk mengikuti tranformasi era digital, dan terus berinovasi.","Tidak, sebab transformasi digital ini perlu adanya tahapan dan proses, tidak serta merta menghilangkan tenaga akuntan.","Tidak, sebab tak semua bisa menggantikan peran tenaga akuntan"
,,,,"Teknologi manapun tidak dapat menggantikan peran profesi akuntansi, sekalipun beberapa berita mengenai profesi tersebut akan digantikan dan mengalami banyak perubahan, profesi akuntan dinilai masih eksis hingga masa kini. Maka dari itu agar dapat menyesuaikan diri dengan era transformasi digital kedepannya yang semakin canggih, seorang akuntan perlu meng-upgrade kualitas diri."
"Bagus yah, karena dengan adanya konsep society 5.0 ini dapat menjadi solusi masyarakat, membantu dan mempermudah dalam menyelesaikan suatu masalah",Pasti karena konsep society 5.0 berdasarkan pemanfaatan berbagai inovasi dan berpusat pada teknologi,Tidak karena profesi akuntan dan teknologi justru akan berevolusi bersama-sama. Profesi akuntan tidak akan hilang dn tak tergantikan ,Kemungkinan jika harus dibutuhkan sesegera mungkin seorang akuntan sedikitnya akan menggunakan teknologi untuk mempermudah ,"Tidak, seperti jawaban di atas bahwa profesi akuntan tidak akan tergantikan. Melainkan mereka akan berevolusi bersama-sama "
"Baik, Semakin berkembangnya jaman, teknologi juga harus semakin maju untuk mempermudah kegiatan manusia sehari-sehari","Iya, mulai dari kesehatan, pendidikan, penjualan, profesi akuntan dan profesi lainnya semua dimudahkan dengan adanya society 5.0","Iya, karena kebanyakkan sekarang profesi akuntansi sudah menggunakan teknologi digital","Iya, karena memudahkan, meminimalasir kesalahan, serta meng efisien waktu ","Tidak, karena robotic dan kecerdasan hanya memudahkan dan membuat waktu pengerjaan menjadi lebih efisien, tetapi peranan utamanya masih membutuhkan profesi akuntan"
"Menurut saya dengan munculnya big data, memang penyimpanan otak manusia kemungkinan sudah tidak bisa maksimal lagi ,tapi seperti adanya google kita bisa mencari dengan begitu cepat ,sehingga di era ini memang semakin memudahkan kinerja kita",Ya,Ya,Ya,Ya
"Dari segi positif, dengan adanya kecerdasan buatan itu sangat membantu pekerjaan manusia. Akan tetapi dari segi negatif itu akan membuat bertambah banyaknya pengagguran",Tantu saja berdampak pada semua bidang profesi,Iya,Iya,Iya
Sangat bagus,Sangat bagus,Sangat bagus,Sangat bagus,Sangat bagus
"Menarik, menjadi sebuah tantangan bagi manusia",Tidak,Tidak,Tidak,Tidak
Society 5.O sangat baik untuk perkembangan ekonomi dunia kedepannya karena akan memudahkan pekerjaan manusia dengan perkembangan teknologi yang semakin canggih. Namun hal ini harus diimbangi dengan SDM yang baik dan mau terus belajar.,"tentunya ada banyak profesi yang akan berdampak. ada yang berdampak positif dan ada yang berdampak negatif. dampak positif banyak dirasakan oleh kaum menengah ketas atau middle managemet dan top management. dampak negatif akan banyak dirasakan oleh orang-orang yang berada tingkatan manajemen paling bawah, pekerja, dan buruh karena mereka sangat dekat dengan faktor produksi yang tentunya pasti akan mudah tergantikan dengan teknologi.","tidak, justru akan semakin memudahkan pekerjaan seorang akuntan. akuntan akan sangat terbantu dalam mengidentifikasikan pertanyaan atas data, melakukan
analisis statistika, mengecek kualitas data, menginterpretasi hasil olah data, dan yang idak bisa dilakukan oleh teknologi adalah  menjadi
penasihat (Sebagai penasihat bisnis umum, sebagai penasihat spesialis, mengambil
peran sebagai partner bisnis)","Iya, mereka akan banyak bermitra dengan teknologi (memanipulasi data, bekerja
dengan robot atau mesin sejenisnya, melatih model kecerdasan buatan) dan berkembang
ke area area baru. ",TIDAK. Karena teknologi tidak memiliki instinc dan feeling 
"Menurut pendapat saya tentang adanya society 5.0 sangat relate dengan kehidupan manusia saat ini. Dengan adanya society 5.0 dapat mempermudah kehidupan manusia dari berbagai lini, semua di dominasi oleh teknologi.","tentu dengan munculnya society 5.0 ini sangat berdampak pada profesi. sebagai salah satu contoh saat ini sangat memungkinkan untuk melakukan pekerjaan dari rumah/ WFH dimana kebiasaan ini sudah dimulai ketika adanya wabah covid-19 dan ternyata hal ini dirasa efektif dalam pekerjaan. karena masing-masing pekerja bisa berkoordinasi tanpa harus bertemu. satu lagi, suatu ketika saya pernah melihat video di salah satu akun youtube dimana dia membeli makanan di salah satu warung dengan memanfaatkan mobil remot, camera dan HT. hal ini membuktikan bahwa society 5.0 sangat berdampak pada semua bidang profesi bahkan di level terbawah pun juga bisa terdampak.","ya, dengan adanya penggunaan teknologi dalam segala aktivitasnya","ya tentu. sudah terbukti saat ini, banyak pekerjaan yang menggunakan teknologi robotic dll dan itupun juga berdampak dalam percepatan penyelesaian pekerjaan itu sendiri.","bisa jadi profesi akuntansi akan terdisrupsi dengan adanya teknologi tersebut, namun kembali lagi manusia yang menjadi pusat kendalinya."
Semua yg kita perlukan terasa lebih mudah di jangkau Asalkan ada kemauan,"Lambat laun akan berdampak, tidak hanya tentang beberapa profesi yang mulai tidak diperlukan, tapi akan ada kemunculan profesi2 baru","Kemungkinan akan terdampak, karena dapat digantikan oleh aplikasi","Untu beberapa bidang mungkin tidak, seperti pembuatan laporan keuangan yg diperlukan. Perusahaan misal, karena perusahaan butuh juga yang untuk kepentingan pajak","Untuk beberapa bidang dalam profesi akuntansi mungkin, tapi tidak semua"
"Bagus, tapi karena hari ini big data, robotic ditopang oleh sistem kapitalisme akhirnya kadang ada penyalahgunaan penggunaan data. Bukan untuk kemaslahatan ummat justru malah diperjualbelikan atau digunakan untuk hal yang tidak senonoh.",Iya betul. Sekarang beberapa pekerjaan justru malah digantikan oleh robot (yang paling berdampak adalah guru) karena harusnya guru bukan hanya transfer ilmu melainkan jg transfer karakter,Tentu betul.,"Iya betul, tapi saya kurang tau apa dampaknya",Bisa jadi
Sangat memudahkan kebutuhan manusia dalam menjalankan aktivitas ,"Tidak semua, tetapi mendominasi profesi ",Mungkin iya,"Saya kurang tahu, tetapi sepertinya tetap membutuhkan bantuan secara manual ",Mungkin iya 
Menurut saya society 5.0 dapat memberikan inovasi besar untuk kedepannya.,"Menurut saya society 5.0 tidak berdampak pada semua bidang profesi, khususnya profesi yang sampai kapan pun akan dilakukan oleh manusia.","Menurut saya iya, karena dengan majunya teknologi akan semakin memudahkan dalam mengerjakan pekerjaan akuntansi.","Menurut saya iya, karena dengan alasan efisiensi.","Menurut saya tidak, asalkan para akuntan dapat lebih meningkatkan skill yang dimiliki, sehingga tidak akan kalah dengan kecerdasan robotic."
"Society 5.0 dapat mempermudah pengerjaan dalam kegiatan dan menjadikan lebih efektif dan efisien. Namun ketika seluruh kegiatan yang dilakukan diambil alih oleh robot dan kecerdasan buatan, maka kegiatan yang seharusnya dikerjakan oleh manusia jadi tergantikan.","Iya sangat berdampak, terutama pada pekerjaan yang semula bisa dikerjakan dengan tenaga manusia sekarang tergantikan dengan kecerdasan buatan dan robot.","Menurut saya tidak terlalu, karena akuntansi merupakan ilmu eksak yang harus dikuasai dasarnya.","Mungkin bisa jadi, karena akuntansi adalah ilmu eksak, jadi hasil pengerjaannya mungkin adalah hasil mutlak, jadi tidak terlalu membutuhkan interpretasi sehingga mungkin dapat dihasilkan dengan kecerdasan buatan dan tidak terlalu membutuhkan pendekatan sosial seperti persepsi yang berbeda setiap individunya.",Tidak jika diimbangi dengan akademis akuntansi yang kompeten.
"Menurut saya merupakan salah satu perkembangan dunia yang perlu dimajukan, karena ada banyak dampak positif yang didapatkan tentang society 5.0, seperti banyak tersedianya teknologi yang membantu pekerjaan manusia. ",Iyaa tentu berdampak. ,"Mungkin iya, karena dengan adanya society 5.0 tersebut profesi akuntansi sedikit tergantikan. ","Tentu iya, dikarenakan dengan adanya teknologi robotic tersebut sangat membantu pekerjaan bidang akuntansi. ","Iya, karena semakin banyak bermunculnya kecerdasan buatan tersebut maka akan berpengaruh dalam pekerjaan yang berhubungan dengan olah data ataupun sejenis nya. "
"Menurut saya membuat manusia lebih berkembang lagi dalam pola berpikir dalam arti setiap individu akan bersaing atau berlomba"" untuk menciptakan teknologi yang dapat membantu manusia lebih nyaman.",Sangat berdampak pada setiap bidang profesi ,Iya ,Ada ,Iya karena setiap bidang profesi membutuhkan manusia 
Menurut saya bagus dalam Inovasi baru d era ini,Menurut saya dari segi ekonomi dapat mempengaruhi tingkat pengangguran di Indonesia ,Iyaa,Iyaaa,Iyaaa bisaa jadi 
Sangat luar biasa dan mulai sedikit menakutkan karena berpotensi menyaingi manusia,"Hampir semua, walau mungkin ada beberapa profesi yang belum dapat tergantikan oleh robotic seperti psikologi dan baby sister","Benar, bahkan ada berita AI jauh lebih baik dan mengalahkan puluhan akutansi saat tes soal jadi kemungkinan para akutan dapat tergantikan ","Benar, sekarang saja sudah ada AI untuk Excel",Sangat berpotensi 
"Bagus, banyak profesi baru ","Iyaa, jadi lebih efisien dan lebih memudahkan dalam bekerja",Untuk helper yang bersifat repetisi sepertinya iya,Iyaa,Bagi sebagian proses yang repetitif sepertinya iya
menurut saya hal tersebut merupakan sebuah inovasi yg membantu kebutuhan manusia dan bisa juga menjadi ancaman,"iyaa, sebab beberapa orang akan kehilangan pekerjaan karena digantikan oleh teknologi ","bisa jadi, sebab sekarang banyak inovasi terkait hal tersebut, misal software akuntansi ","iya, sebab semakin berkembang teknologi maka secara tidak langsung pekerjaan tersebut akan tergantikan ","iya, karena bila dilihat teknologi lebih baik secara ketelitian dibandingkan dengan manusia. namun peran manusia masih dibutuhkan untuk maintenance "
Menurut saya merupakan sesuatu yang keren tetapi juga menakutkan sebab teknologi mulai dapat mengubah kebiasaan yang sebelumnya belum pernah terjadi dan dapat menggantikan pekerjaan manusia,"Iya, tetapi sebagus apapun perkembangan teknologi tetap manusia pembuatnya ","Tidak, walaupun AI mampu mengalahkan ketelitian profesi akuntan tetapi untuk menghindari hal yang tidak diinginkan seperti kebocoran data masih diperlukan manusia",Tentu dengan perkembangan teknologi semua bidang akan mengalami perubahan dan harus tetap menyesuaikan,Bisa jadi 
perkembangan teknologi dibutuhkan ,tentu berdampak pada profesi ,bisa saja profesi akuntansi tergantikan ,tentu aktifitas akuntansi akan terpengaruh dan terbantu dengan teknologi,"tenaga manusia tetap dibutuhkan dalam proses akuntansi, tetapi dapat terbantu dengan teknologi "
"Pemdapat saya dengan munculnya big data, robotic, dan kecerdasan buatan bisa saja dijadikan patokan tentang society 5.0 namun, seharusnya juga ada kontrol dalam munculnya hal² tersebut sehingga perkembangan yang ada itu menuju ke arah yang lebih positif.",Tentunya munculnya society 5.0 sangat berdampak. Selain berdampak membantu mempercepat pekerjaan manusia tapi dampak nya pun bisa dirasakan dengan tergantung tenaga kerja manusia oleh robot².,"Menurut saya Mungkin profesi akuntansi terkena distrupsi yaitu lebih memudahkan dalam menjalankan pekerjaan dengan bantuan big data, robotic dan keerdasan buatan.","Menurut saya Iya, Karna akan lebih mempercepat jalannya pekerjaan. ",Menurut saya tidak. Karna jika memang menggunakan robot tentunya harus tetap ada peran manusia dalam menjalankan robot tersebut.
"Menurut saya, hal tersebut memunculkan dampak negatif juga dampak positifnya bagi manusia. Karena dengan adanya hal tersebut dampak negatif yang muncul adalah bisa tergantikannya posisi manusia dengan hal hal tersebut.",Iya,Menurut saya bisa iya,Menurut saya iya,Iya
Menurut saya sih sepertinya kurang efektif ya karena nantinya lama kelamaan aktifitas manusia pasti akn tergantikan oleh robot ,Sepertinya akan berdampak ke semua bidang profesi ,Ya menurut saya sepertinya profensi akutansi merupakan salah satu bidang profesi yang terkena disrupsi ,Lama kelamaan semakin majunya teknologi pastinya profesi tersebut akan lebih banyak menggunakan teknologi robotic ,Menurut saya iya mungkin akan tergantikan dalam waktu beberapa tahun kedepan contohnya mungkin seperti di jepang yang kekurangan SDM nya dan sebagian besar di gantikan oleh robotic 
"Dengan adanya Society 5.0 ini manusia di ajarkan untuk dapat mengintegrasikan kehidupan antara dunia maya dan dunia nyata dengan baik, sehingga akan terjadi keselarasan yang berdampak terhadap meningkanya kualitas kehidupan manusia.","hadirnya konsep masyarakat 5.0 pun memberikan dampak positif pada pemecahan masalah sosial sekaligus pembangunan ekonomi. Dalam menghadapi perubahan besar di dunia dan transformasi digital, munculnya teknologi seperti AI, IoT, robotika, machine learning, hingga pengolahan data dapat memudahkan kehidupan manusia. Konsep ini membantu dalam peningkatan produksi dan pengurangan pengangguran, dukungan industrialisasi berkelanjutan, redistribusi kekayaan, hingga mengurangi ketimpangan sosial.","profesi akuntan dinilai masih eksis hingga masa kini. Agar dapat menyesuaikan diri dengan era transformasi digital yang semakin canggih, seorang akuntan perlu meng-upgrade kualitas diri.","Akuntan dan teknologi justru akan berevolusi bersama-sama. Pada masa dahulu, sektor bekerja para akuntan sebatas di posisi financial reporting, tax computating, and auditing","Teknologi tidak akan menggantikan pekerjaan akuntan. Akuntan dan teknologi justru akan berevolusi bersama-sama. Pada masa dahulu, sektor bekerja para akuntan sebatas di posisi financial reporting, tax computating, and auditing"
di era society 5.0 memunculkan teknologi teknologi baru yang membantu aktivitas.,menurut saya saat ini hampir seluruh bidang profesi terkena dampak dari society 5.0 ,"menurut saya profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi, dengan adanya society 5.0 akan membantu profesi akuntan dalam pengolahan data",dalam prosesnya saat ini profesi akuntansi sudah banyak bergantung pada teknologi,"profesi akuntansi sangat memerlukan kecerdasan buatan, tetapi tenaga manusia akan tetap dibutuhkan"
Menurut saya dengan adanya society 5.0 dapat memudahkan kebutuhan manusia dengan penggunaan ilmu pengetahuan dan teknologi modern seperti AI dan robot untuk memenuhi kebutuhan manusia.,Iya berdampak pada semuanya ,Iya,Iya,Iya
Menurut saya dengan adanya era society 5.0 manusia semakin dimudahkan dengan adanya perkembangan teknologi dalam segala hal / bidang untuk mendukung kehidupan sehari - hari hingga menyelesaikan permasalahan.,"Menurut saya sangat berdampak, karena dengan kecanggihan era society 5.0 maka profesi yang biasa dilakukan secara offline bisa dilakukan secara online atau lebih efisien digantikan dengan teknologi.","Menurut saya disrupsi bisa terjadi pada profesi akuntansi karena, dengan adanya teknologi yang semakin canggih maka kegiatan yg berhubungan dengan akuntansi lebih efektif, efisien, dan akurat.","Iyaa benar, hal tersebut dikarenakan jika menggunakan teknologi robotic, big data, dan kecerdasan buatan karena lebih memudahkan tepat dan akurat (bisa meminimalisir kesalahan).","Benar, beberapa tahun kedepan robotic dan kecerdasan buatan akan berkembang secara signifikan. Apabila kualifikasi seseorang yang memiliki profesi akuntansi tidak bisa mengimbangi dan tidak maksimal.  Maka profesi akuntansi akan dengan mudah akan tergeser perannya dengan teknologi."
"Menurut saya, hal ini merupakan suatu hal yang bagus. Dikarenakan dengan adanya society 5.0 ini teknologi yang ada juga semakin berkembang secara pesat dan segala hal yang ada bisa jadi semakin mudah.","Menurut saya, munculnya society 5.0 ini sangat berdampak pada bidang profesi akibat adanya big data, robotic, dan kecerdasan buatan.",Menurut saya tidak,"Menurut saya bisa jadi. Namun, tidak semua hal bisa dilakukan dengan teknologi robotic, big data, dan kecerdasan buatan dalam aktifitasnya.","Menurut saya tidak. Karena meskipun adanya teknologi-teknologi tersebut, peranan profesi akuntansi masih sangat dibutuhkan."
Menurut saya sendiri mengenai society 5.0 ini sangat membantu kehidupan manusia. Dengan berkembangnya society 5.0 ini menuntut manusia untuk mengikuti perkembangan tersebut.,"Menurut saya iya, society 5.0 dapat berdampak pada semua bidang profesi. ","Ya, menurut saya profesi akuntansi merupakan salah satu bidang profesi yang akan terkena disrupsi contoh kecilnya yaitu saat ini sudah banyak usaha-usaha yang tidak menggunakan pencatatan manual tetapi sudah mulai menggunakan aplikasi akuntansi yang dapat menghasilkan informasi keuangan secara otomatis.",Iya menurut saya benar bahwa adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi dalam aktivitasnya. Contohnya saat ini sudah banyak dikembangkan aplikasi aplikasi pencatatan akuntansi secara otomatis.,"Menurut saya tidak
Benar memang adanya disrupsi akan membuat profesi akuntansi menggunakan teknologi dalam menjalankan kegiatannya. Namun untuk mengatasi hal tersebut sudah banyak dilakukan berbagai cara untuk mengimbangi disrupsi tersebut. Contohnya di SMK khususnya jurusan akuntansi telah dilaksanakan pembelajaran yang mengarah pada penerapan teknologi. Adapula beberapa mata pelajaran yang tujuannya agar siswa memiliki keterampilan menggunakan teknologi dalam akuntansi. Selain itu, teknologi memang dapat mempemudah penggunanya dalam melakukan pencatatan keuangan, namun untuk menganalisis hasil keuangan masih tetap membutuhkan manusia untuk dapat mengintepretasikan hasilnya."
"Menurut saya, era society 5.0 akan membuat pekerjaan manusia menjadi lebih mudah dengan bantuan teknologi yang semakin canggih ",Iya berdampak dan di era ini semua bidang profesi harus menyesuaikan dengan perkembangan teknologi yang ada,Ada. Bidang profesi akuntansi untuk kedepannya memungkinkan munculnya inovasi-inovasi baru berbasis teknologi yang dapat membantu/meringankan pekerjaan akuntan ,"Iya, penggunaan teknologi robotic, big data dan kecerdasan buatan dalam bidang profesi akuntansi ditujukan untuk membantu pekerjaan menjadi lebih mudah","Tidak, meskipun banyak bermunculan teknologi canggih yang dapat membantu pekerjaan akuntan namun tetap saja perannya tidak bisa digantikan. Semua orang bisa saja mengoperasikan teknologi tersebut, akan tetapi tidak semua orang bisa memiliki keahlian untuk menganalisis aspek-aspek keuangan yang dimiliki oleh akuntan"
Sangat menarik dan menantang,"Tentu, namun sepertinya masih jauh dimasa depan untuk berpengaruh pada semua profesi",Iya,Iya,"Menurut saya beberapa bagian iya, namun pasti ada beberapa part yang tidak bisa digantikan oleh AI"
Pendapat saya tentang big data robotic kecerdasan pasti berdampak positif maupun negatif untuk saya sendiri lebih berdampak positif karena semakin banyaknya kemajuan teknologi yang berdampak terhadap kemudahan menjalankan aktivitas sehari-hari ,Berdampak karena kemudahan dalam akses informasi dan membantu meringankan pekerjaan,"Menurut saya Tak semua bisa digantikan oleh mesin dan teknologi, profesi akuntan diyakini akan tetap relevan di era industri 4.0 terutama di Indonesia",Menurut saya disrupsi pada profesi akuntan kurang relevan karena teknologi robotic tidak akan mengganti profesi akuntan karena walaupun robotic akan mengalami human eror pada sistem ,Menurut saya tidak akan menggeser professi akuntan 
harus lebih peka akan teknologi,Iya,Mungkin,-,Iya semakin canggih teknologi maka tenaga manusia akan tergantikan oleh tenaga robotic yg lebih cepat dan mengurangi gaji para pegawai
