"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?","Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?","Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
Sangat bagus dengan adanya society 5.0 karena kemajuan teknologi sehingga segala pekerjaan diharapkan lebih efisien dan efektif. Akan tetapi pada era ini diharapkan adanya SDM yang mampu mengikuti kecanggihan sehingga tidak tergeser oleh teknologi yang semakin canggih. Di era ini manusia diharapkan mampu beradaptasi dengan berbagai tantangan dan permasalahan dengan berbagai inovasi teknologi yang semakin canggih.,Iyaa sebagian profesi mungkin akan berdampak karena ada teknologi yang bisa menggantikan peran manusia. ,"Bisa jadi profesi akuntan akan terkena salah satu dampak dari era ini , akan tetapi ada bagian2 kegiatan akuntan yang tidak bisa digantikan oleh kecerdasan buatan. Oleh karena itu sangat penting bagi akuntan untuk dibekali kemampuan-kemampuan agar bisa beradaptasi dengan kemajuan teknologi, akuntan juga harus mengikuti perkembangan teknologi yang ada. Sehingga era society ini bisa membantu pekerjaan akuntan secara efektif dan efisien dan era ini bukan menjadi tantangan lagi melainkan peluang untuk semakin maju dan lebih baik dari sebelumnya.",Mungkin kalau profesi akuntan lebih banyak menggunakan kecerdasan buatan seperti aplikasi2 pembukuan dan pencatatan. Hal ini baik karena dengam begitu proses pembukuan akan lebih cepat dan efisien adanya big data pun akan membuat proses dalam akuntansi akan terintegrasi satu sama lain. Tentunya kelebihan2 ini harus dikontrol oleh SDM yang memiliki kemampuan teknologi yang mumpuni.,"Most likely it will be shifted if accountants are unable to adapt to existing technology, I think the accounting profession will still be needed in the future even though the number will decrease because of this artificial intelligence",0.5267,Positif
"Sangat menantang diiringi peningkatan skill di bidang IT. Kebutuhan pekerjaan juga akan bergeser dari yg konvesional jadi serba digital, ini menjadi sebab munculnya pekerjaan baru yg paling banyak demandnya seperti digital marketing, data engineering, data analyst, business analyst, etc. Hal ini bisa menguntungkan pun mengancam ",Sureeee. Bidang pendidikan saja harus menggunakan blended learning. Pertanian konvesional kalah saing dgn modern farming. ,Without doubt,"Frankly speaking true. Contohnya penggunaan software Xero, Oracle, and many more. ","Nope. Accounting is a complex profession that requires problem solving, critical thinking, analytics, etc. skills that cannot be replaced by technology. But who knows, it might be replaced.",-0.2023,Negatif
s ada keuntungan dan kerugian ,in,in,in,Ada,0.0,Netral
in,in,in,in,"no, it still requires human power",0.0,Netral
in,in,in,in,20 years,0.0,Netral
Suatu konsep masyarakat yang berpusat pada manusia cenderung berbasis pada teknologi. ,Berpengaruh,Can,Iya lebih simple dengan auto record,"It could be yes, 15 years as long as it is maintained/repaired regularly.",0.4019,Positif
Era 5.0 era perkembangan teknologi yang sangat luar biasa. Adanya teknologi mampu mendukung dan mempermudah suatu pekerjaan dengan dukungan teknologi akan pekerjaan akan lebih maksimal. ,Iyaa ,Tidak. ,"Tidak , keterampilan akuntansi tetap membutuhkan skill analisis yang terus di kembangkan penerapannya kedepan sehingga dengan adanya teknologi juga tidak bisa dipisahkan dengan peran Profesi akuntan sebagai sistem utama yang mampu memberikan analisis secara akuntabel dan relevan.","Technology will not replace the job of an accountant. Despite experiencing many changes, the accounting profession is still considered to exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality",0.5574,Positif
disisi yang melek teknologi itu sangat menguntungkan meskipun ada sisi negatif yang dikhawatirkan,sangat berdampak,kena imbasnya,pasti,approximately 10 years,0.0,Netral
Memudahkan pekerjaan akuntan,"Lumayan berdampak, karena akan ada efektifitas dan efisiensi pekerjaan ",Of,Of,Not completely,0.0,Netral
Kondisi ini merupakan tantangan bagi kita semua. Banyak kajian dan pembahasan yang diperlukan untuk mengetahui dampak maupun pro dan kontra dari era ini. ,Sedikit banyak saat ini segala bidang mulai bertransformasi ke digital,Apabila para akuntan masa kini tidak memiliki kemampuan yang memadai hal tersebut bisa saja menjadi permasalahan ,Apabila perusahaan memiliki dana yang cukup sepertinya akan memanfaatkan teknologi untuk memperlancar aktivitas tersebut. Namun untuk bidang tertentu tetap akan menggunakan akuntan,All depends on the development and acceptance of the technology. Certainly the role of policy makers also determines this.,0.6597,Positif
Ya sangat akan membantu sebuah perusahaan dalam mengejar target quantitynya.,"Ya pasti, karena akan berkurangnya tenaga kerja manusia yang digunakan.",Kemungkinan iya. Karena dengan adanya pembaruan itu bisa akan memudahkan pekerjaan  profesi akuntansi ,"Pastinya iya, tapi tetap membutuhkan manusia dalam pekerjaannya","Small possibility yes. Because in the field of accounting is a very sensitive field there is a company. Because it involves company finances that must be clear and there is accountability from humans. Because as sophisticated as robotics and AI are, it is still possible for errors to occur.",0.7579,Positif
in,"Berdampak, sebab karena masyarakat secara terus menerus akan dituntut untuk mengembangkan kemampuan guna menyelesaikan masalah sosial yang terjadi akibat kemunculan revolusi industri, yang sejalan dengan misi Indonesia emas di tahun 2045.","Iya, oleh karena itu manusia perlu meningkatkan kualitas sumber dayanya, untuk mengikuti tranformasi era digital, dan terus berinovasi.","Tidak, sebab transformasi digital ini perlu adanya tahapan dan proses, tidak serta merta menghilangkan tenaga akuntan.","No, because not all of them can replace the role of accountants",0.0,Netral
in,in,in,in,"Any technology cannot replace the role of the accounting profession, even though some news about the profession will be replaced and undergo many changes, the accounting profession is considered to still exist today. Therefore, in order to be able to adapt to the increasingly sophisticated era of digital transformation in the future, an accountant needs to upgrade his quality.",0.5574,Positif
"Bagus yah, karena dengan adanya konsep society 5.0 ini dapat menjadi solusi masyarakat, membantu dan mempermudah dalam menyelesaikan suatu masalah",Pasti karena konsep society 5.0 berdasarkan pemanfaatan berbagai inovasi dan berpusat pada teknologi,Tidak karena profesi akuntan dan teknologi justru akan berevolusi bersama-sama. Profesi akuntan tidak akan hilang dn tak tergantikan ,Kemungkinan jika harus dibutuhkan sesegera mungkin seorang akuntan sedikitnya akan menggunakan teknologi untuk mempermudah ,"No, like the answer above that the accounting profession will not be replaced. Rather they will evolve together",0.3612,Positif
"Baik, Semakin berkembangnya jaman, teknologi juga harus semakin maju untuk mempermudah kegiatan manusia sehari-sehari","Iya, mulai dari kesehatan, pendidikan, penjualan, profesi akuntan dan profesi lainnya semua dimudahkan dengan adanya society 5.0","Iya, karena kebanyakkan sekarang profesi akuntansi sudah menggunakan teknologi digital","Iya, karena memudahkan, meminimalasir kesalahan, serta meng efisien waktu ","No, because robotics and intelligence only facilitate and make work time more efficient, but their main role still requires the accounting profession",0.476,Positif
"Menurut saya dengan munculnya big data, memang penyimpanan otak manusia kemungkinan sudah tidak bisa maksimal lagi ,tapi seperti adanya google kita bisa mencari dengan begitu cepat ,sehingga di era ini memang semakin memudahkan kinerja kita",Of,Of,Of,Of,0.0,Netral
"Dari segi positif, dengan adanya kecerdasan buatan itu sangat membantu pekerjaan manusia. Akan tetapi dari segi negatif itu akan membuat bertambah banyaknya pengagguran",Tantu saja berdampak pada semua bidang profesi,Can,Can,Can,0.0,Netral
Very good,Very good,Very good,Very good,Very good,0.4927,Positif
"Menarik, menjadi sebuah tantangan bagi manusia",No,No,No,No,-0.296,Negatif
Society 5.O sangat baik untuk perkembangan ekonomi dunia kedepannya karena akan memudahkan pekerjaan manusia dengan perkembangan teknologi yang semakin canggih. Namun hal ini harus diimbangi dengan SDM yang baik dan mau terus belajar.,"tentunya ada banyak profesi yang akan berdampak. ada yang berdampak positif dan ada yang berdampak negatif. dampak positif banyak dirasakan oleh kaum menengah ketas atau middle managemet dan top management. dampak negatif akan banyak dirasakan oleh orang-orang yang berada tingkatan manajemen paling bawah, pekerja, dan buruh karena mereka sangat dekat dengan faktor produksi yang tentunya pasti akan mudah tergantikan dengan teknologi.","tidak, justru akan semakin memudahkan pekerjaan seorang akuntan. akuntan akan sangat terbantu dalam mengidentifikasikan pertanyaan atas data, melakukan
analisis statistika, mengecek kualitas data, menginterpretasi hasil olah data, dan yang idak bisa dilakukan oleh teknologi adalah  menjadi
penasihat (Sebagai penasihat bisnis umum, sebagai penasihat spesialis, mengambil
peran sebagai partner bisnis)","Iya, mereka akan banyak bermitra dengan teknologi (memanipulasi data, bekerja
dengan robot atau mesin sejenisnya, melatih model kecerdasan buatan) dan berkembang
ke area area baru. ",NO. Because technology does not have instincts and feelings,0.0,Netral
"Menurut pendapat saya tentang adanya society 5.0 sangat relate dengan kehidupan manusia saat ini. Dengan adanya society 5.0 dapat mempermudah kehidupan manusia dari berbagai lini, semua di dominasi oleh teknologi.","tentu dengan munculnya society 5.0 ini sangat berdampak pada profesi. sebagai salah satu contoh saat ini sangat memungkinkan untuk melakukan pekerjaan dari rumah/ WFH dimana kebiasaan ini sudah dimulai ketika adanya wabah covid-19 dan ternyata hal ini dirasa efektif dalam pekerjaan. karena masing-masing pekerja bisa berkoordinasi tanpa harus bertemu. satu lagi, suatu ketika saya pernah melihat video di salah satu akun youtube dimana dia membeli makanan di salah satu warung dengan memanfaatkan mobil remot, camera dan HT. hal ini membuktikan bahwa society 5.0 sangat berdampak pada semua bidang profesi bahkan di level terbawah pun juga bisa terdampak.","ya, dengan adanya penggunaan teknologi dalam segala aktivitasnya","ya tentu. sudah terbukti saat ini, banyak pekerjaan yang menggunakan teknologi robotic dll dan itupun juga berdampak dalam percepatan penyelesaian pekerjaan itu sendiri.","it could be that the accounting profession will be disrupted by this technology, but again humans are the center of control.",0.0,Netral
Semua yg kita perlukan terasa lebih mudah di jangkau Asalkan ada kemauan,"Lambat laun akan berdampak, tidak hanya tentang beberapa profesi yang mulai tidak diperlukan, tapi akan ada kemunculan profesi2 baru","Kemungkinan akan terdampak, karena dapat digantikan oleh aplikasi","Untu beberapa bidang mungkin tidak, seperti pembuatan laporan keuangan yg diperlukan. Perusahaan misal, karena perusahaan butuh juga yang untuk kepentingan pajak","For some fields in the accounting profession it may be, but not all",0.0,Netral
"Bagus, tapi karena hari ini big data, robotic ditopang oleh sistem kapitalisme akhirnya kadang ada penyalahgunaan penggunaan data. Bukan untuk kemaslahatan ummat justru malah diperjualbelikan atau digunakan untuk hal yang tidak senonoh.",Iya betul. Sekarang beberapa pekerjaan justru malah digantikan oleh robot (yang paling berdampak adalah guru) karena harusnya guru bukan hanya transfer ilmu melainkan jg transfer karakter,Tentu betul.,"Iya betul, tapi saya kurang tau apa dampaknya",It could be,0.0,Netral
Sangat memudahkan kebutuhan manusia dalam menjalankan aktivitas ,"Tidak semua, tetapi mendominasi profesi ",Mungkin iya,"Saya kurang tahu, tetapi sepertinya tetap membutuhkan bantuan secara manual ",Maybe yes,0.4019,Positif
Menurut saya society 5.0 dapat memberikan inovasi besar untuk kedepannya.,"Menurut saya society 5.0 tidak berdampak pada semua bidang profesi, khususnya profesi yang sampai kapan pun akan dilakukan oleh manusia.","Menurut saya iya, karena dengan majunya teknologi akan semakin memudahkan dalam mengerjakan pekerjaan akuntansi.","Menurut saya iya, karena dengan alasan efisiensi.","I don't think so, as long as accountants can further improve their skills, so they won't be inferior to robotic intelligence.",0.8052,Positif
"Society 5.0 dapat mempermudah pengerjaan dalam kegiatan dan menjadikan lebih efektif dan efisien. Namun ketika seluruh kegiatan yang dilakukan diambil alih oleh robot dan kecerdasan buatan, maka kegiatan yang seharusnya dikerjakan oleh manusia jadi tergantikan.","Iya sangat berdampak, terutama pada pekerjaan yang semula bisa dikerjakan dengan tenaga manusia sekarang tergantikan dengan kecerdasan buatan dan robot.","Menurut saya tidak terlalu, karena akuntansi merupakan ilmu eksak yang harus dikuasai dasarnya.","Mungkin bisa jadi, karena akuntansi adalah ilmu eksak, jadi hasil pengerjaannya mungkin adalah hasil mutlak, jadi tidak terlalu membutuhkan interpretasi sehingga mungkin dapat dihasilkan dengan kecerdasan buatan dan tidak terlalu membutuhkan pendekatan sosial seperti persepsi yang berbeda setiap individunya.",Not if balanced with competent accounting academics.,0.3182,Positif
"Menurut saya merupakan salah satu perkembangan dunia yang perlu dimajukan, karena ada banyak dampak positif yang didapatkan tentang society 5.0, seperti banyak tersedianya teknologi yang membantu pekerjaan manusia. ",Iyaa tentu berdampak. ,"Mungkin iya, karena dengan adanya society 5.0 tersebut profesi akuntansi sedikit tergantikan. ","Tentu iya, dikarenakan dengan adanya teknologi robotic tersebut sangat membantu pekerjaan bidang akuntansi. ","Yes, because the more artificial intelligence emerges, it will affect work related to data processing or the like.",0.8214,Positif
"Menurut saya membuat manusia lebih berkembang lagi dalam pola berpikir dalam arti setiap individu akan bersaing atau berlomba"" untuk menciptakan teknologi yang dapat membantu manusia lebih nyaman.",Sangat berdampak pada setiap bidang profesi ,Can,Ada ,"Yes, because every field of profession requires human beings",0.4019,Positif
Menurut saya bagus dalam Inovasi baru d era ini,Menurut saya dari segi ekonomi dapat mempengaruhi tingkat pengangguran di Indonesia ,Iyaa,Iyaaa,Yes it can be,0.4019,Positif
Sangat luar biasa dan mulai sedikit menakutkan karena berpotensi menyaingi manusia,"Hampir semua, walau mungkin ada beberapa profesi yang belum dapat tergantikan oleh robotic seperti psikologi dan baby sister","Benar, bahkan ada berita AI jauh lebih baik dan mengalahkan puluhan akutansi saat tes soal jadi kemungkinan para akutan dapat tergantikan ","Benar, sekarang saja sudah ada AI untuk Excel",Very potential,0.0,Netral
"Bagus, banyak profesi baru ","Iyaa, jadi lebih efisien dan lebih memudahkan dalam bekerja",Untuk helper yang bersifat repetisi sepertinya iya,Iyaa,For some repetitive processes it seems yes,0.1779,Positif
menurut saya hal tersebut merupakan sebuah inovasi yg membantu kebutuhan manusia dan bisa juga menjadi ancaman,"iyaa, sebab beberapa orang akan kehilangan pekerjaan karena digantikan oleh teknologi ","bisa jadi, sebab sekarang banyak inovasi terkait hal tersebut, misal software akuntansi ","iya, sebab semakin berkembang teknologi maka secara tidak langsung pekerjaan tersebut akan tergantikan ","Yes, because if you look at technology, it is better in terms of accuracy than humans. but the role of humans is still needed for maintenance",0.4215,Positif
Menurut saya merupakan sesuatu yang keren tetapi juga menakutkan sebab teknologi mulai dapat mengubah kebiasaan yang sebelumnya belum pernah terjadi dan dapat menggantikan pekerjaan manusia,"Iya, tetapi sebagus apapun perkembangan teknologi tetap manusia pembuatnya ","Tidak, walaupun AI mampu mengalahkan ketelitian profesi akuntan tetapi untuk menghindari hal yang tidak diinginkan seperti kebocoran data masih diperlukan manusia",Tentu dengan perkembangan teknologi semua bidang akan mengalami perubahan dan harus tetap menyesuaikan,It could be,0.0,Netral
perkembangan teknologi dibutuhkan ,tentu berdampak pada profesi ,bisa saja profesi akuntansi tergantikan ,tentu aktifitas akuntansi akan terpengaruh dan terbantu dengan teknologi,"human labor is still needed in the accounting process, but can be assisted by technology",0.0,Netral
"Pemdapat saya dengan munculnya big data, robotic, dan kecerdasan buatan bisa saja dijadikan patokan tentang society 5.0 namun, seharusnya juga ada kontrol dalam munculnya hal² tersebut sehingga perkembangan yang ada itu menuju ke arah yang lebih positif.",Tentunya munculnya society 5.0 sangat berdampak. Selain berdampak membantu mempercepat pekerjaan manusia tapi dampak nya pun bisa dirasakan dengan tergantung tenaga kerja manusia oleh robot².,"Menurut saya Mungkin profesi akuntansi terkena distrupsi yaitu lebih memudahkan dalam menjalankan pekerjaan dengan bantuan big data, robotic dan keerdasan buatan.","Menurut saya Iya, Karna akan lebih mempercepat jalannya pekerjaan. ","I don't think so. Because if you do use a robot, of course there must still be a human role in running the robot.",0.0,Netral
"Menurut saya, hal tersebut memunculkan dampak negatif juga dampak positifnya bagi manusia. Karena dengan adanya hal tersebut dampak negatif yang muncul adalah bisa tergantikannya posisi manusia dengan hal hal tersebut.",Can,Menurut saya bisa iya,I think so,Can,0.0,Netral
Menurut saya sih sepertinya kurang efektif ya karena nantinya lama kelamaan aktifitas manusia pasti akn tergantikan oleh robot ,Sepertinya akan berdampak ke semua bidang profesi ,Ya menurut saya sepertinya profensi akutansi merupakan salah satu bidang profesi yang terkena disrupsi ,Lama kelamaan semakin majunya teknologi pastinya profesi tersebut akan lebih banyak menggunakan teknologi robotic ,"In my opinion, maybe it will be replaced in the next few years, for example, maybe like in Japan, where there is a shortage of human resources and most of them are replaced by robotics",0.128,Positif
"Dengan adanya Society 5.0 ini manusia di ajarkan untuk dapat mengintegrasikan kehidupan antara dunia maya dan dunia nyata dengan baik, sehingga akan terjadi keselarasan yang berdampak terhadap meningkanya kualitas kehidupan manusia.","hadirnya konsep masyarakat 5.0 pun memberikan dampak positif pada pemecahan masalah sosial sekaligus pembangunan ekonomi. Dalam menghadapi perubahan besar di dunia dan transformasi digital, munculnya teknologi seperti AI, IoT, robotika, machine learning, hingga pengolahan data dapat memudahkan kehidupan manusia. Konsep ini membantu dalam peningkatan produksi dan pengurangan pengangguran, dukungan industrialisasi berkelanjutan, redistribusi kekayaan, hingga mengurangi ketimpangan sosial.","profesi akuntan dinilai masih eksis hingga masa kini. Agar dapat menyesuaikan diri dengan era transformasi digital yang semakin canggih, seorang akuntan perlu meng-upgrade kualitas diri.","Akuntan dan teknologi justru akan berevolusi bersama-sama. Pada masa dahulu, sektor bekerja para akuntan sebatas di posisi financial reporting, tax computating, and auditing","Technology will not replace the job of an accountant. Accountants and technology will instead evolve together. In the past, the work sector for accountants was limited to financial reporting, tax computing, and auditing positions",-0.2263,Negatif
di era society 5.0 memunculkan teknologi teknologi baru yang membantu aktivitas.,menurut saya saat ini hampir seluruh bidang profesi terkena dampak dari society 5.0 ,"menurut saya profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi, dengan adanya society 5.0 akan membantu profesi akuntan dalam pengolahan data",dalam prosesnya saat ini profesi akuntansi sudah banyak bergantung pada teknologi,"the accounting profession desperately needs artificial intelligence, but human labor will still be needed",0.0644,Positif
Menurut saya dengan adanya society 5.0 dapat memudahkan kebutuhan manusia dengan penggunaan ilmu pengetahuan dan teknologi modern seperti AI dan robot untuk memenuhi kebutuhan manusia.,Iya berdampak pada semuanya ,Can,Can,Can,0.0,Netral
Menurut saya dengan adanya era society 5.0 manusia semakin dimudahkan dengan adanya perkembangan teknologi dalam segala hal / bidang untuk mendukung kehidupan sehari - hari hingga menyelesaikan permasalahan.,"Menurut saya sangat berdampak, karena dengan kecanggihan era society 5.0 maka profesi yang biasa dilakukan secara offline bisa dilakukan secara online atau lebih efisien digantikan dengan teknologi.","Menurut saya disrupsi bisa terjadi pada profesi akuntansi karena, dengan adanya teknologi yang semakin canggih maka kegiatan yg berhubungan dengan akuntansi lebih efektif, efisien, dan akurat.","Iyaa benar, hal tersebut dikarenakan jika menggunakan teknologi robotic, big data, dan kecerdasan buatan karena lebih memudahkan tepat dan akurat (bisa meminimalisir kesalahan).","True, in the next few years robotics and artificial intelligence will develop significantly. If the qualifications of someone who has an accounting profession cannot keep up and are not optimal. Then the accounting profession will easily shift its role with technology.",0.7343,Positif
"Menurut saya, hal ini merupakan suatu hal yang bagus. Dikarenakan dengan adanya society 5.0 ini teknologi yang ada juga semakin berkembang secara pesat dan segala hal yang ada bisa jadi semakin mudah.","Menurut saya, munculnya society 5.0 ini sangat berdampak pada bidang profesi akibat adanya big data, robotic, dan kecerdasan buatan.",Menurut saya tidak,"Menurut saya bisa jadi. Namun, tidak semua hal bisa dilakukan dengan teknologi robotic, big data, dan kecerdasan buatan dalam aktifitasnya.","I don't think so. Because despite the existence of these technologies, the role of the accounting profession is still very much needed.",0.0,Netral
Menurut saya sendiri mengenai society 5.0 ini sangat membantu kehidupan manusia. Dengan berkembangnya society 5.0 ini menuntut manusia untuk mengikuti perkembangan tersebut.,"Menurut saya iya, society 5.0 dapat berdampak pada semua bidang profesi. ","Ya, menurut saya profesi akuntansi merupakan salah satu bidang profesi yang akan terkena disrupsi contoh kecilnya yaitu saat ini sudah banyak usaha-usaha yang tidak menggunakan pencatatan manual tetapi sudah mulai menggunakan aplikasi akuntansi yang dapat menghasilkan informasi keuangan secara otomatis.",Iya menurut saya benar bahwa adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi dalam aktivitasnya. Contohnya saat ini sudah banyak dikembangkan aplikasi aplikasi pencatatan akuntansi secara otomatis.,"I don't think so
It is true that disruption will make the accounting profession use technology in carrying out its activities. However, to overcome this, various ways have been carried out to compensate for this disruption. For example, in Vocational High Schools, especially accounting majors, learning has been carried out that lead to the application of technology. There are also several subjects whose goal is for students to have skills in using technology in accounting. In addition, technology can indeed make it easier for users to keep financial records, but to analyze financial results still requires humans to be able to interpret the results.",0.063,Positif
"Menurut saya, era society 5.0 akan membuat pekerjaan manusia menjadi lebih mudah dengan bantuan teknologi yang semakin canggih ",Iya berdampak dan di era ini semua bidang profesi harus menyesuaikan dengan perkembangan teknologi yang ada,Ada. Bidang profesi akuntansi untuk kedepannya memungkinkan munculnya inovasi-inovasi baru berbasis teknologi yang dapat membantu/meringankan pekerjaan akuntan ,"Iya, penggunaan teknologi robotic, big data dan kecerdasan buatan dalam bidang profesi akuntansi ditujukan untuk membantu pekerjaan menjadi lebih mudah","No, even though many sophisticated technologies have sprung up that can help accountants work, their role cannot be replaced. Everyone can operate this technology, but not everyone can have the expertise to analyze the financial aspects of an accountant",0.4854,Positif
Sangat menarik dan menantang,"Tentu, namun sepertinya masih jauh dimasa depan untuk berpengaruh pada semua profesi",Can,Can,"I think some parts do, but there are definitely some parts that AI cannot replace",0.5499,Positif
Pendapat saya tentang big data robotic kecerdasan pasti berdampak positif maupun negatif untuk saya sendiri lebih berdampak positif karena semakin banyaknya kemajuan teknologi yang berdampak terhadap kemudahan menjalankan aktivitas sehari-hari ,Berdampak karena kemudahan dalam akses informasi dan membantu meringankan pekerjaan,"Menurut saya Tak semua bisa digantikan oleh mesin dan teknologi, profesi akuntan diyakini akan tetap relevan di era industri 4.0 terutama di Indonesia",Menurut saya disrupsi pada profesi akuntan kurang relevan karena teknologi robotic tidak akan mengganti profesi akuntan karena walaupun robotic akan mengalami human eror pada sistem ,I don't think it will shift the accounting profession,0.0,Netral
harus lebih peka akan teknologi,Can,Maybe,-,"Yes, the more sophisticated the technology, the human power will be replaced by robotic power which is faster and reduces the salaries of employees",0.7645,Positif
"Luar biasa, perkembangan teknologi yang semakin kuat biasa akan meningkatkan efektivitas dan efisiensi dalam segala hal.",Of,Ya ,"Ya, tentunya implementasi teknologi robotic, big data dan kecerdasan buatan akan semakin banyak digunakan terlebih setiap perusahaan pastinya menginginkan proses yang lebih efektif dan efisien dalam pengelolaan bisnisnya. ","It could be, but of course it will also open up opportunities for the creation of new jobs. Therefore, the development of the skills and expertise of the accounting profession needs to be balanced with current technological advances.",0.7227,Positif
society 5.0 memiliki kelebihan dan kekurangan kita sebagai mahasiswa akuntansi tentu harus tetap sejalan dengan sistem yang berkembang saat ini.,Can,Can,Can,can,0.0,Netral
sebuah era yang dapat membantu meningkatkan era digitalisasi ,berdampak ,tidak ,No,"no because the robot will only help in processing numbers, but not in making decisions",0.0644,Positif
